iter	Passed	Remaining
879	3306	450
880	3311	447
881	3315	443
882	3318	439
883	3321	435
884	3325	432
885	3329	428
886	3332	424
887	3335	420
888	3338	416
889	3344	413
890	3348	409
891	3351	405
892	3354	401
893	3359	398
894	3362	394
895	3365	390
896	3368	386
897	3371	382
898	3376	379
899	3379	375
900	3382	371
901	3387	368
902	3390	364
903	3394	360
904	3400	356
905	3407	353
906	3411	349
907	3417	346
908	3421	342
909	3424	338
910	3427	334
911	3432	331
912	3436	327
913	3439	323
914	3443	319
915	3447	316
916	3451	312
917	3455	308
918	3458	304
919	3465	301
920	3468	297
921	3471	293
922	3475	289
923	3479	286
924	3482	282
925	3486	278
926	3489	274
927	3492	270
928	3496	267
929	3500	263
930	3503	259
931	3507	255
932	3511	252
933	3515	248
934	3519	244
935	3523	240
936	3527	237
937	3530	233
938	3534	229
939	3537	225
940	3542	222
941	3545	218
942	3549	214
943	3552	210
944	3557	207
945	3561	203
946	3565	199
947	3569	195
948	3573	192
949	3576	188
950	3579	184
951	3582	180
952	3586	176
953	3592	173
954	3595	169
955	3598	165
956	3601	161
957	3605	158
958	3609	154
959	3614	150
960	3617	146
961	3622	143
962	3626	139
963	3629	135
964	3632	131
965	3635	127
966	3639	124
967	3642	120
968	3645	116
969	3648	112
970	3651	109
971	3655	105
972	3658	101
973	3661	97
974	3664	93
975	3668	90
976	3673	86
977	3676	82
978	3680	78
979	3683	75
980	3687	71
981	3690	67
982	3694	63
983	3697	60
984	3702	56
985	3706	52
986	3709	48
987	3713	45
988	3716	41
989	3720	37
990	3723	33
991	3727	30
992	3730	26
993	3734	22
994	3737	18
995	3740	15
996	3743	11
997	3746	7
998	3749	3
999	3753	0
